2025-07-07 08:48:22 | INFO  | SYSTEM   | 启动     | 日志系统初始化成功
2025-07-07 08:48:22 | INFO  | SYSTEM   | 启动     | 系统启动时间: 2025-07-07 08:48:22
2025-07-07 08:48:22 | INFO  | SYSTEM   | 启动     | Java版本: 21.0.7
2025-07-07 08:48:22 | INFO  | SYSTEM   | 启动     | 操作系统: Windows 11 10.0
2025-07-07 08:48:22 | INFO  | SYSTEM   | 启动     | === 图书管理系统启动 ===
2025-07-07 08:48:22 | INFO  | GENERAL  | -      | 数据库配置: localhost:3306/rental
2025-07-07 08:48:22 | INFO  | GENERAL  | -      | 开始测试数据库连接
2025-07-07 08:48:22 | INFO  | DB       | 连接     | 尝试连接数据库: localhost:3306/rental
2025-07-07 08:48:22 | INFO  | DB       | 连接     | 驱动加载 - MySQL JDBC驱动加载成功
2025-07-07 08:48:22 | INFO  | UTIL     | 日志     | 数据库驱动加载成功
2025-07-07 08:48:22 | INFO  | DB       | 连接     | 连接成功 - 数据库: rental, 用户: root, 地址: localhost:3306
2025-07-07 08:48:22 | INFO  | UTIL     | 日志     | 数据库连接成功
2025-07-07 08:48:22 | INFO  | DB       | 连接     | 连接关闭 - 数据库连接已安全关闭
2025-07-07 08:48:22 | INFO  | UTIL     | 日志     | 数据库连接关闭成功
2025-07-07 08:48:22 | INFO  | GENERAL  | -      | 数据库连接测试成功
2025-07-07 08:48:22 | INFO  | DB       | 连接     | 尝试连接数据库: localhost:3306/rental
2025-07-07 08:48:22 | INFO  | DB       | 连接     | 驱动加载 - MySQL JDBC驱动加载成功
2025-07-07 08:48:22 | INFO  | UTIL     | 日志     | 数据库驱动加载成功
2025-07-07 08:48:22 | INFO  | DB       | 连接     | 连接成功 - 数据库: rental, 用户: root, 地址: localhost:3306
2025-07-07 08:48:22 | INFO  | UTIL     | 日志     | 数据库连接成功
2025-07-07 08:48:22 | INFO  | GENERAL  | -      | 连接池初始化成功
2025-07-07 08:48:22 | INFO  | GENERAL  | -      | GUI系统启动成功
2025-07-07 08:49:44 | INFO  | USER     | 注册     | 用户:java 详情:开始注册新用户
2025-07-07 08:49:44 | DEBUG | USER     | 查询     | 查询用户名: java
2025-07-07 08:49:44 | DEBUG | DB       | 查询     | 执行查询SQL: SELECT id,username,password,registerTime,comment FROM user WHERE username = 'java'
2025-07-07 08:49:44 | INFO  | DB       | 查询     | 表:user 结果:无结果
2025-07-07 08:49:44 | WARN  | USER     | 查询     | 未找到用户名: java
2025-07-07 08:49:44 | DEBUG | DB       | 插入     | 执行插入SQL: INSERT INTO user(username,password,registerTime,comment) VALUES('java','123456','2025-07-07 08:49:44.116','')
2025-07-07 08:49:44 | INFO  | DB       | 插入     | 表:user 结果:成功
2025-07-07 08:49:44 | INFO  | USER     | 注册     | 用户:java 详情:注册成功
2025-07-07 08:50:21 | DEBUG | USER     | 登录校验   | 登录校验并获取用户信息: java
2025-07-07 08:50:21 | DEBUG | DB       | 查询     | 执行查询SQL: SELECT id,username,password,registerTime,comment FROM user WHERE username = 'java' AND password = '123456'
2025-07-07 08:50:21 | INFO  | DB       | 查询     | 表:user 结果:成功，返回5个字段
2025-07-07 08:50:21 | INFO  | UTIL     | 日志     | 查询结果：[5, java, 123456, 2025-07-07, ]
2025-07-07 08:50:21 | INFO  | USER     | 登录     | 用户:java 详情:登录成功，用户ID: 5
2025-07-07 08:50:22 | INFO  | DB       | 连接     | 尝试连接数据库: localhost:3306/rental
2025-07-07 08:50:22 | INFO  | DB       | 连接     | 驱动加载 - MySQL JDBC驱动加载成功
2025-07-07 08:50:22 | INFO  | UTIL     | 日志     | 数据库驱动加载成功
2025-07-07 08:50:22 | INFO  | DB       | 连接     | 连接成功 - 数据库: rental, 用户: root, 地址: localhost:3306
2025-07-07 08:50:22 | INFO  | UTIL     | 日志     | 数据库连接成功
2025-07-07 08:50:22 | INFO  | DB       | 连接     | 尝试连接数据库: localhost:3306/rental
2025-07-07 08:50:22 | INFO  | DB       | 连接     | 驱动加载 - MySQL JDBC驱动加载成功
2025-07-07 08:50:22 | INFO  | UTIL     | 日志     | 数据库驱动加载成功
2025-07-07 08:50:22 | INFO  | DB       | 连接     | 连接成功 - 数据库: rental, 用户: root, 地址: localhost:3306
2025-07-07 08:50:22 | INFO  | UTIL     | 日志     | 数据库连接成功
2025-07-07 08:50:22 | INFO  | DB       | 连接     | 尝试连接数据库: localhost:3306/rental
2025-07-07 08:50:22 | INFO  | DB       | 连接     | 驱动加载 - MySQL JDBC驱动加载成功
2025-07-07 08:50:22 | INFO  | UTIL     | 日志     | 数据库驱动加载成功
2025-07-07 08:50:22 | INFO  | DB       | 连接     | 连接成功 - 数据库: rental, 用户: root, 地址: localhost:3306
2025-07-07 08:50:22 | INFO  | UTIL     | 日志     | 数据库连接成功
2025-07-07 08:50:22 | INFO  | DB       | 连接     | 尝试连接数据库: localhost:3306/rental
2025-07-07 08:50:22 | INFO  | DB       | 连接     | 驱动加载 - MySQL JDBC驱动加载成功
2025-07-07 08:50:22 | INFO  | UTIL     | 日志     | 数据库驱动加载成功
2025-07-07 08:50:22 | INFO  | DB       | 连接     | 连接成功 - 数据库: rental, 用户: root, 地址: localhost:3306
2025-07-07 08:50:22 | INFO  | UTIL     | 日志     | 数据库连接成功
2025-07-07 08:50:22 | INFO  | DB       | 连接     | 尝试连接数据库: localhost:3306/rental
2025-07-07 08:50:22 | INFO  | DB       | 连接     | 驱动加载 - MySQL JDBC驱动加载成功
2025-07-07 08:50:22 | INFO  | UTIL     | 日志     | 数据库驱动加载成功
2025-07-07 08:50:22 | INFO  | DB       | 连接     | 连接成功 - 数据库: rental, 用户: root, 地址: localhost:3306
2025-07-07 08:50:22 | INFO  | UTIL     | 日志     | 数据库连接成功
2025-07-07 08:50:22 | INFO  | DB       | 连接     | 尝试连接数据库: localhost:3306/rental
2025-07-07 08:50:22 | INFO  | DB       | 连接     | 驱动加载 - MySQL JDBC驱动加载成功
2025-07-07 08:50:22 | INFO  | UTIL     | 日志     | 数据库驱动加载成功
2025-07-07 08:50:22 | INFO  | DB       | 连接     | 连接成功 - 数据库: rental, 用户: root, 地址: localhost:3306
2025-07-07 08:50:22 | INFO  | UTIL     | 日志     | 数据库连接成功
2025-07-07 08:50:22 | INFO  | DB       | 连接     | 尝试连接数据库: localhost:3306/rental
2025-07-07 08:50:22 | INFO  | DB       | 连接     | 驱动加载 - MySQL JDBC驱动加载成功
2025-07-07 08:50:22 | INFO  | UTIL     | 日志     | 数据库驱动加载成功
2025-07-07 08:50:22 | INFO  | DB       | 连接     | 连接成功 - 数据库: rental, 用户: root, 地址: localhost:3306
2025-07-07 08:50:22 | INFO  | UTIL     | 日志     | 数据库连接成功
2025-07-07 08:50:22 | INFO  | DB       | 连接     | 尝试连接数据库: localhost:3306/rental
2025-07-07 08:50:22 | INFO  | DB       | 连接     | 驱动加载 - MySQL JDBC驱动加载成功
2025-07-07 08:50:22 | INFO  | UTIL     | 日志     | 数据库驱动加载成功
2025-07-07 08:50:22 | INFO  | DB       | 连接     | 连接成功 - 数据库: rental, 用户: root, 地址: localhost:3306
2025-07-07 08:50:22 | INFO  | UTIL     | 日志     | 数据库连接成功
2025-07-07 08:50:22 | INFO  | DB       | 连接     | 尝试连接数据库: localhost:3306/rental
2025-07-07 08:50:22 | INFO  | DB       | 连接     | 驱动加载 - MySQL JDBC驱动加载成功
2025-07-07 08:50:22 | INFO  | UTIL     | 日志     | 数据库驱动加载成功
2025-07-07 08:50:22 | INFO  | DB       | 连接     | 连接成功 - 数据库: rental, 用户: root, 地址: localhost:3306
2025-07-07 08:50:22 | INFO  | UTIL     | 日志     | 数据库连接成功
